学校名,回数区分
城西川越,（３回）
城西川越,（４回）
城西大附属城西,（１回午前）
城西大附属城西,（１回午後）
城西大附属城西,（２回午前）
城西大附属城西,（２回午後）
城西大附属城西,（３回）
常総学院,（一般）
常総学院,（一般２回）
常総学院,（推薦・専願）
常総学院,（適性検査型）
聖徳学園,（ＡＯ）
聖徳学園,（適性検査型）
聖徳学園,（ＰＭ１）
聖徳学園,（特奨）
聖徳学園,（プログラミング）
聖徳学園,（ＰＭ２）
聖徳学園,（ＡＭ１）
聖徳学園,（ＡＭ２）
湘南学園,（Ａ）
湘南学園,（Ｂ）
湘南学園,（Ｃ）
湘南学園,（Ｄ）
湘南学園,（湘南学園ＥＳＤ）
昌平,1
昌平,（２回）
昌平,（３回）
昌平,（４回）
昌平,（Ｔクラス１回）
昌平,（Ｔクラス２回）
昌平,（Ｔクラス３回）
城北,1
城北,（２回）
城北,（３回）
城北埼玉,（特待）
城北埼玉,1
城北埼玉,（２回）
城北埼玉,（３回）
城北埼玉,（４回）
城北埼玉,（５回）
翔凜,（一般）
翔凜,（推薦）
翔凜,（特別入試）
昭和学院,（第一志望）
昭和学院,（国語１科）
昭和学院,（算数１科）
昭和学院,（適性検査型）
昭和学院,（アドバンストチャレンジ）
昭和学院秀英,（午後特別）
昭和学院秀英,（１回）
昭和学院秀英,（２回）
巣鴨,1
巣鴨,（算数選抜）
巣鴨,（２期）
巣鴨,（３期）
逗子開成,1
逗子開成,（２次）
逗子開成,（３次）
逗子開成,（帰国）
駿台学園,（１日午前）
駿台学園,（１日午後）
駿台学園,（２日午前）
駿台学園,（２日午後）
駿台学園,（４日）
駿台学園,（８日）
聖学院,1
聖学院,（英語特別）
聖学院,（特待生）
聖学院,（アドバンスト）
聖学院,（２回）
聖学院,（２回アドバンスト）
聖学院,（３回アドバンスト）
聖学院,（ものづくり思考力）
聖学院,（デザイン思考力）
聖学院,（グローバル思考力特待）
聖学院,（オンリーワン表現力）
成蹊,1
成蹊,（２回）
聖光学院,1
聖光学院,（２回）
聖光学院,（帰国）
成城,1
成城,（２回）
成城,（３回）
成城学園,1
成城学園,（２回）
清真学園,（前期）
清真学園,（後期）
西武学園文理,1
西武学園文理,（１回選抜）
西武学園文理,（特待）
西武学園文理,（２回）
西武学園文理,（２回選抜）
西武学園文理,（２回特待）
西武学園文理,（３回）
西武学園文理,（３回選抜）
西武学園文理,（適性検査）
西武学園文理,（英語）
西武台千葉,1
西武台千葉,（特待）
西武台千葉,（２回）
西武台千葉,（第一志望）
西武台新座,（特進）
西武台新座,（特進選抜）
西武台新座,（２回特進）
西武台新座,（特待）
西武台新座,（２回特進選抜）
西武台新座,（適性検査）
西武台新座,（チャレンジ）
聖望学園,（一般）
聖望学園,（奨学生）
聖望学園,（適性検査型）
聖望学園,（一般３回）
聖望学園,（奨学生３回）
聖望学園,（英語）
聖望学園,（プレゼン入試）
聖望学園,（一般４回）
聖望学園,（奨学生４回）
聖望学園,（一般５回）
聖望学園,（奨学生５回）
聖望学園,（専願）
清明学園,1
聖ヨゼフ学園,1
聖ヨゼフ学園,（２回）
聖ヨゼフ学園,（３回）
聖ヨゼフ学園,（総合型）
成立学園,1
成立学園,（２回）
成立学園,（３回）
成立学園,（４回）
青稜,（１回Ａ）
青稜,（１回Ｂ）
